X1,Y1,Z1
0.26560281,1.080789968,0.927272641
0.791239154,1.838385207,0.83272244
1.652283424,3.59948561,0.890250707
3.321122217,7.145755377,1.48530791
6.553250051,13.78817353,4.096420648
12.18735643,23.49320703,13.31467666
18.57201813,25.91006819,34.20768972
17.83767886,7.53307447,47.92729675
9.019436265,-6.804824901,40.5356731
1.113879041,-8.940598935,32.43380556
-3.282013966,-8.341177726,28.2935076
-5.482361259,-8.113547329,26.15977955
-6.751200507,-8.523116165,25.12927922
-7.736292319,-9.298372725,25.00569394
-8.634923638,-10.04066798,25.72487215
-9.361649771,-10.31272575,27.04749234
-9.701717889,-9.838634197,28.42849163
-9.510766491,-8.76317413,29.21098146
-8.877706747,-7.601868549,29.05837055
-8.092520567,-6.840356467,28.13087116
-7.462251282,-6.666008715,26.85029461
-7.17611539,-7.033481961,25.63141697
-7.2924497,-7.8122181,24.7994853
-7.774182323,-8.827576312,24.60207661
-8.501494721,-9.812055366,25.18506116
-9.257357781,-10.38064834,26.47441326
-9.746508432,-10.17897688,28.03572354
-9.722281082,-9.203667181,29.16733999
-9.170247923,-7.925193241,29.34777362
-8.343679233,-6.935016888,28.59159626
-7.586788397,-6.542209272,27.3051595
-7.146956296,-6.75184034,25.95089953
-7.124553862,-7.441342965,24.89774791
-7.509569996,-8.450923,24.42841083
-8.20915708,-9.548136127,24.74540396
-9.034997039,-10.3653733,25.88136158
-9.694728799,-10.47122226,27.52508405
-9.879914459,-9.682023491,28.98337187
-9.467516593,-8.347003444,29.55647505
-8.643798467,-7.127917249,29.05407931
-7.774676671,-6.483028438,27.82038257
-7.172558526,-6.49855371,26.36125292
-6.991233928,-7.06538861,25.09854761
-7.252446344,-8.030763269,24.35080908
-7.890107952,-9.195340044,24.36524731
-8.748970844,-10.23071438,25.26842984
-9.55813753,-10.67173806,26.89357893
-9.971492445,-10.16330396,28.62783865
-9.754438025,-8.863309318,29.63997057
-8.989247669,-7.437855921,29.48748896
-8.033621407,-6.509798559,28.38474036
-7.265470505,-6.289498653,26.86383238
-6.90558793,-6.69703238,25.41070809
-7.015607657,-7.579479948,24.38610205
-7.55633811,-8.762270876,24.0729644
-8.406150207,-9.968337436,24.67285241
-9.329836096,-10.74442892,26.16551947
-9.973316781,-10.60253212,28.08410247
-10.00381699,-9.45808251,29.54937986
-9.366978339,-7.882804506,29.84892199
-8.367799126,-6.649768938,28.97919117
-7.438905162,-6.145630245,27.45722603
-6.882703824,-6.351422349,25.84221551
-6.813808996,-7.111282326,24.55012344
-7.222258594,-8.262004095,23.89621276
-8.017885699,-9.578668307,24.13630445
-9.009113912,-10.65870876,25.380657
-9.863816175,-10.94368453,27.35285585
-10.18158945,-10.09508015,29.2349381
-9.753512485,-8.472650649,30.07944333
-8.775665631,-6.935270158,29.57111339
-7.706109661,-6.094935981,28.13416764
-6.940103902,-6.047543762,26.39918605
-6.664260997,-6.642281516,24.85723127
-6.904816952,-7.711469838,23.86072701
-7.599975036,-9.071587156,23.70206726
-8.602697539,-10.39487,24.59258856
-9.627059167,-11.12574282,26.45860237
-10.24898877,-10.71340973,28.65519008
-10.11256244,-9.20046911,30.10323674
-9.246320198,-7.40209533,30.10803081
-8.078986733,-6.175620298,28.8779607
-7.098446536,-5.811001815,27.08559919
-6.587790074,-6.191141661,25.32141404
-6.623878021,-7.130068271,23.99079559
-7.17210928,-8.465043845,23.41263267
-8.12505888,-9.948186753,23.86465164
-9.256799194,-11.09269426,25.45443562
-10.1674633,-11.22684579,27.79266998
-10.3931711,-10.02761684,29.83274884
-9.752738578,-8.081191632,30.50833858
-8.563614891,-6.438493957,29.65361586
-7.380960196,-5.678503716,27.89967004
-6.610051339,-5.78144472,25.95561906
-6.403361647,-6.539696099,24.3092452
-6.758126479,-7.78381595,23.30801731
-7.598471175,-9.330981797,23.26489726
-8.759583653,-10.80530736,24.42127263
-9.905859015,-11.53246805,26.67074814
-10.53207648,-10.86939752,29.18470773
-10.24481896,-8.982038006,30.65470919
-9.152933521,-6.946553377,30.39493493
-7.811377388,-5.704182559,28.82785936
-6.762880605,-5.445840671,26.77104685
-6.272905821,-5.965098715,24.83830459
-6.38628309,-7.056946525,23.42499277
-7.052067364,-8.571379471,22.85995845
-8.15637683,-10.25204564,23.46049681
-9.44937765,-11.53046382,25.36720578
-10.4617885,-11.58732531,28.1104989
-10.64326014,-10.06316438,30.39632578
-9.814205222,-7.765507379,30.98416354
-8.407966044,-5.967868773,29.83129106
-7.085214898,-5.234476693,27.77380502
-6.270904145,-5.43705916,25.60065173
-6.091152727,-6.316143063,23.79831543
-6.52135143,-7.709265609,22.71134209
-7.481968738,-9.453944301,22.68197023
-8.807094809,-11.15151262,24.01505083
-10.12624086,-12.00260642,26.63724301
-10.84063887,-11.19365595,29.57646921
-10.47139765,-8.932751383,31.22922325
-9.169433856,-6.580416122,30.81845717
-7.621064005,-5.229524305,28.95485789
-6.448515675,-5.000370684,26.61920065
-5.917470533,-5.596202931,24.46306132
-6.049000466,-6.791001829,22.87454696
-6.783008339,-8.461781625,22.19135846
-8.015509001,-10.38190431,22.78640319
-9.501203762,-11.9405376,24.9018264
-10.71830188,-12.12830985,28.10137664
-10.98814719,-10.38973182,30.85956871
-10.04702233,-7.669801206,31.59729202
-8.408622163,-5.566588151,30.26347926
-6.873125877,-4.731247445,27.9121565
-5.92693277,-4.940575184,25.45744011
-5.688584099,-5.86517084,23.40169373
-6.116383621,-7.346227733,22.08174782
-7.136429718,-9.273537861,21.86326119
-8.611588737,-11.29719287,23.1506337
-10.18388778,-12.54025246,26.04106833
-11.16869094,-11.88389728,29.58893802
-10.90085925,-9.310721091,31.81299463
-9.448816885,-6.454008143,31.54402865
-7.626240845,-4.772793923,29.47373271
-6.20881441,-4.418737562,26.82474396
-5.513834893,-4.982925494,24.348463
-5.550950031,-6.184454459,22.43400044
-6.250842674,-7.931654973,21.40872838
-7.535963952,-10.09416977,21.69034482
-9.221096409,-12.14445501,23.70281045
-10.80621621,-12.91611345,27.30229976
-11.45796466,-11.34122112,30.94156183
-10.63193168,-8.13698575,32.40655589
-8.776103121,-5.39377626,31.2070261
-6.890057804,-4.171357256,28.60318844
-5.636630177,-4.212168132,25.78232962
-5.177798699,-5.050718896,23.32620901
-5.455130319,-6.486103159,21.5539859
-6.395345536,-8.481765314,20.81201003
-7.921639946,-10.86342358,21.58598497
-9.789366586,-12.89064546,24.30858084
-11.3400908,-13.11243606,28.52337037
-11.61985648,-10.65980082,32.06915878
-10.28012676,-7.032527031,32.73123018
-8.12473199,-4.515152967,30.76764358
-6.23634753,-3.689932837,27.7880148
-5.137624871,-4.02174204,24.85410008
-4.869063728,-5.058629217,22.4104405
-5.334878991,-6.681616167,20.73645548
-6.47190039,-8.90237392,20.20986001
-8.211132009,-11.50562434,21.39594789
-10.25416929,-13.54058416,24.75409038
-11.78755889,-13.27474711,29.52551556
-11.74656092,-10.06400867,32.97535459
-9.977318537,-6.117390174,32.97075416
-7.581129932,-3.786038064,30.42439229
-5.67989858,-3.237037267,27.15789044
-4.676848092,-3.75147782,24.10997669
-4.524238634,-4.904762386,21.62434637
-5.104584365,-6.647648465,19.949856
-6.371865514,-9.04846569,19.48681762
-8.282643978,-11.90170863,20.88481767
-10.52550857,-14.11965497,24.71065634
-12.16735202,-13.65289466,30.07679194
-11.98435902,-9.85257223,33.72314364
-9.896154377,-5.502773561,33.37447645
-7.24577648,-3.157564909,30.40788905
-5.239427053,-2.71784997,26.87318205
-4.219805529,-3.298920849,23.6573922
-4.073869537,-4.465549349,21.03045319
-4.659494391,-6.212841379,19.19619151
-5.944687532,-8.685439463,18.53594125
-7.939373494,-11.79937573,19.75312743
-10.41385878,-14.54624762,23.65666619
-12.43254247,-14.55604007,29.69460546
-12.509633,-10.51476362,34.27131053
-10.30339807,-5.438224119,34.24401857
-7.310991,-2.634985789,31.05055813
-4.996814042,-2.050584305,27.20233337
-3.768567585,-2.560860187,23.71253711
-3.466190531,-3.607704898,20.80677308
-3.894794533,-5.169538389,18.61084023
-5.006333847,-7.461356673,17.40400205
-6.8713557,-10.6419275,17.80898118
-9.469293304,-14.2052108,20.87078387
-12.17310014,-15.95462529,27.11658655
-13.33208662,-12.9620752,33.78103244
-11.6561056,-6.826110975,35.76713306
-8.289120269,-2.538423921,32.9502078
-5.283925371,-1.228984994,28.7142171
-3.477630588,-1.452439518,24.76663357
-2.744822568,-2.235216857,21.40827998
-2.781901884,-3.372530229,18.66161287
-3.437111881,-5.04390453,16.61730117
-4.752666125,-7.583100354,15.58204967
-6.895884266,-11.24026037,16.315427
-9.908351278,-15.42015876,20.19867322
-13.01248903,-17.18623787,27.96426411
-14.04270471,-12.78501536,35.65488868
-11.58205958,-5.289134132,36.87934044
-7.508067941,-0.958730183,32.93437089
-4.231480153,0.006962567,28.1670719
-2.380543076,-0.325147191,24.01991903
-1.601797198,-0.939948098,20.5332376
-1.47756413,-1.667081043,17.60470407
-1.795089885,-2.662676559,15.19433976
-2.54605027,-4.22759384,13.35693918
-3.894734271,-6.797802553,12.35673031
-6.150599354,-10.86320783,12.97845169
-9.588096887,-16.22577595,17.0281698
-13.61859039,-19.59675857,26.49593572
-15.45117202,-14.61835139,37.30510285
-12.50639456,-4.41837748,39.31530117
-7.247833951,1.126929834,34.20781758
-3.12233557,2.139882673,28.6549064
-0.801370119,1.887458679,24.21219663
0.363914843,1.748812482,20.61778088
1.041964016,2.034013679,17.64544733
1.666679969,2.835784875,15.21868544
2.535376114,4.340452066,13.38263816
3.939321777,6.915212545,12.40517377
6.235200534,11.00993824,13.08945725
9.701804202,16.36217578,17.26530225
13.7068496,19.55668206,26.84653333
15.41283902,14.32548061,37.48308291
12.35803774,4.196398015,39.1926657
7.115681629,-1.162984796,34.02566885
3.054893666,-2.105180398,28.51071493
0.783176518,-1.84408509,24.09787701
-0.354887737,-1.707495136,20.52098707
-1.017898662,-1.989649659,17.5594793
-1.630947678,-2.779934474,15.13772302
-2.485703016,-4.263452208,13.2976784
-3.870004415,-6.807591025,12.29809807
-6.140883237,-10.87389968,12.9231933
-9.591733145,-16.2552269,16.98764761
-13.63876979,-19.641679,26.500099
-15.47556823,-14.62575376,37.35817404
-12.50871005,-4.373942263,39.35188643
-7.226759096,1.17538454,34.21216377
-3.091135877,2.180108771,28.64928974
-0.766381309,1.928063802,24.20728733
0.403547126,1.799310268,20.61707066
1.091003837,2.104374065,17.65200709
1.733047439,2.939751291,15.23877451
2.631218302,4.498542285,13.43146993
4.082160939,7.153297513,12.52054915
6.443363679,11.3341513,13.35831176
9.963368086,16.65335102,17.82586993
13.89473836,19.42492511,27.6385489
15.30516401,13.64941484,37.83896369
12.01751764,3.723911509,38.88934979
6.826477491,-1.222569402,33.61340363
2.914537769,-2.015477981,28.18716959
0.753082725,-1.736512959,23.84052843
-0.323495159,-1.60149646,20.30212056
-0.950344963,-1.870453376,17.36367138
-1.532015296,-2.624277723,14.95046358
-2.346211177,-4.042691209,13.09492881
-3.67091785,-6.490072632,12.02895871
-5.861889414,-10.45512993,12.47810855
-9.250256401,-15.88512272,16.19478166
-13.39569587,-19.81429249,25.42548781
-15.62147849,-15.53039457,36.86746661
-12.96570985,-4.995495906,39.78456879
-7.5971521,1.153295751,34.7857534
-3.239427141,2.371714003,29.08324682
-0.75161683,2.14844147,24.54904862
0.513245986,2.031629264,20.91475109
1.265944854,2.383489383,17.93410497
1.977224681,3.317329119,15.5377024
2.973500817,5.039709968,13.80883193
4.568992908,7.922484067,13.11227413
7.111101697,12.29296167,14.44486019
10.72184165,17.31418141,19.7541566
14.29068587,18.63015038,29.90617749
14.78163949,11.60261228,38.41769458
10.98953229,2.648864692,37.76802541
6.091511259,-1.158640977,32.39398278
2.648806378,-1.59653192,27.25783068
0.812453019,-1.26656824,23.0976852
-0.06968327,-1.084967861,19.66224553
-0.548216363,-1.216535843,16.77608251
-0.954207663,-1.695268586,14.35624116
-1.500794783,-2.636628589,12.37954281
-2.39470908,-4.317356703,10.92034503
-3.925951999,-7.22656787,10.30679183
-6.512062672,-11.95193651,11.54591525
-10.48230148,-18.09290665,17.01142635
-14.89784922,-20.84285004,28.89946849
-15.99077027,-12.81291423,40.15095222
-11.57325985,-1.502641498,39.61564797
-5.673947374,2.971906039,33.24689828
-1.608790949,3.371519324,27.71069546
0.578127667,3.163325784,23.54523309
1.788805221,3.441527463,20.28996381
2.754632625,4.449639511,17.7869704
3.95386811,6.353550137,16.15555434
5.740895432,9.373723719,15.87290918
8.356951903,13.40631908,18.00386425
11.56672172,16.8049417,23.89609688
13.87891879,15.60795672,32.35010476
13.09589885,8.839947115,37.06650156
9.503149279,2.646899766,35.07194929
5.707813566,0.320534414,30.41285913
3.208099825,0.220724618,25.95750982
1.986904578,0.769161937,22.18295943
1.607964558,1.475822714,19.00996014
1.762818086,2.386975869,16.37536625
2.360248706,3.755278208,14.30000268
3.498000021,5.968527068,12.96684728
5.432835514,9.509221681,12.95398405
8.470809907,14.50792661,15.68912517
12.40580807,18.93398798,23.33055514
15.19836428,16.8821431,34.43695524
13.71340546,7.388195569,39.5089703
8.846969827,0.178513552,35.83402406
4.307191057,-1.804438752,30.17008876
1.544908331,-1.712192056,25.43071494
0.15163756,-1.436568066,21.60451745
-0.560744386,-1.476839129,18.42981806
-1.067799695,-1.91999798,15.7821034
-1.664452077,-2.865047469,13.62841501
-2.591805312,-4.562361964,12.04698106
-4.144155566,-7.460424578,11.37804402
-6.712188767,-12.05511002,12.62398932
-10.55034712,-17.78947796,18.00431618
-14.65896524,-20.02809668,29.22440668
-15.5502236,-12.42600141,39.46481179
-11.39634948,-2.003472146,38.95952041
-5.873459792,2.268707973,32.979728
-2.026465592,2.703980141,27.56501175
0.042017205,2.455200763,23.36598097
1.139329496,2.569966103,20.0012592
1.936127073,3.278570024,17.29437433
2.870177416,4.732375838,15.26731985
4.280487511,7.213595358,14.18542491
6.498521441,11.02978567,14.80826338
9.712765251,15.75074236,18.70845862
13.25218862,18.2844492,27.19592777
14.68702243,13.72029281,36.30518862
12.06884153,5.045137601,38.01419736
7.477229829,0.084900969,33.61490545
3.792748892,-0.95818594,28.46408962
1.703301332,-0.672377518,24.13009707
0.735751824,-0.266764221,20.5317286
0.357369397,0.012999162,17.4923165
0.25243176,0.210652241,14.90775912
0.281989384,0.413219531,12.70804473
0.40945631,0.710335478,10.83966456
0.660493344,1.218918232,9.265146269
1.118819095,2.133389958,7.976712038
1.953258732,3.804602001,7.046453478
3.476210922,6.846928854,6.795370872
6.206490036,12.11909686,8.316075102
10.68435812,19.56013758,14.58706174
15.98852903,23.27397232,29.19534723
17.17744778,12.66554208,42.97537297
11.42996079,-1.073888684,41.00829645
4.432341645,-5.38361708,33.4035452
-0.065554539,-5.463054333,27.88172533
-2.452410346,-5.358013026,24.17831983
-3.898891069,-6.039110632,21.61749266
-5.222243319,-7.613289684,20.14551529
-6.862896038,-9.976529578,20.11663664
-8.931332579,-12.61354828,22.13670604
-11.04107969,-14.08719537,26.42740456
-12.16509784,-12.55374263,31.36771222
-11.3649659,-8.444555311,33.71577938
-9.067293204,-4.763040131,32.41286742
-6.646634,-3.135243204,29.26121884
-5.006465053,-3.07927989,25.89132659
-4.308230519,-3.863303905,22.93051566
-4.422548028,-5.21873768,20.61791267
-5.246943673,-7.198353429,19.21703366
-6.767323658,-9.87668002,19.21409975
-8.921596106,-12.87826752,21.36646242
-11.24562071,-14.68811813,26.10137162
-12.55184832,-13.07700079,31.73165858
-11.68294002,-8.409678094,34.42384972
-9.101707161,-4.281463871,32.92036666
-6.411308059,-2.541134306,29.43561373
-4.6108818,-2.494303461,25.80851471
-3.825069934,-3.261670973,22.64035566
-3.870639191,-4.549127123,20.1076015
-4.620628343,-6.446341111,18.41308238
-6.080409269,-9.137588333,17.99213593
-8.27842873,-12.48480098,19.6596829
-10.92042352,-15.20230878,24.2798447
-12.86483588,-14.54067722,30.87658585
-12.50936307,-9.63217152,35.0989608
-9.844067246,-4.435565484,34.21821107
-6.691337907,-1.988696475,30.53058976
-4.43931867,-1.674264209,26.53506676
-3.322345606,-2.283744437,23.0153391
-3.1006187,-3.340674102,20.09826398
-3.570395973,-4.88956753,17.87483555
-4.703411291,-7.195736723,16.60527798
-6.608104989,-10.491459,16.91851153
-9.326931348,-14.37294199,19.96862835
-12.28545013,-16.57533214,26.58213731
-13.70757074,-13.60137571,34.04622491
-12.00745639,-6.84711455,36.46463183
-8.358621076,-2.08970281,33.46542934
-5.083192253,-0.665846611,28.95752
-3.107101852,-0.860957557,24.8267347
-2.255488139,-1.552402108,21.32496856
-2.160186336,-2.489558238,18.41179331
-2.620307626,-3.828278858,16.10084133
-3.644953649,-5.905043188,14.55617813
-5.41535409,-9.13306809,14.28158009
-8.168712183,-13.61582955,16.47110201
-11.73468933,-17.73836085,22.90462799
-14.48350069,-16.71769669,32.71587709
-13.68038843,-8.827501041,38.31373366
-9.551833456,-1.705196521,35.89639218
-5.260427695,0.749577624,30.68732114
-2.490158578,0.819434332,25.97021521
-1.10015322,0.396511556,22.0709436
-0.51685046,0.045325019,18.79809473
-0.327033294,-0.202312499,16.02039241
-0.326770227,-0.433144185,13.65724428
-0.447618182,-0.74790884,11.65037376
-0.702031686,-1.271049574,9.959491541
-1.168688131,-2.199796946,8.575632485
-2.013728695,-3.882767157,7.572154405
-3.544970332,-6.922339922,7.274238361
-6.268111669,-12.14134417,8.772816314
-10.69130938,-19.41192564,14.98070826
-15.86931941,-22.92987287,29.25949841
-17.00639981,-12.60926697,42.62956586
-11.41605218,0.768352214,40.79817499
-4.57112882,5.069611107,33.34549545
-0.142210873,5.18413795,27.81169283
2.212826639,5.075229413,24.03327966
3.633802631,5.730666745,21.36597411
4.931955889,7.286304372,19.75022669
6.562922319,9.692979659,19.53558472
8.680642794,12.53028961,21.38289532
10.95956578,14.40201238,25.71851518
12.35343116,13.18220407,31.13552572
11.72601077,8.891044318,34.07947559
9.356345472,4.767714583,32.97882148
6.729386178,2.859456588,29.71747603
4.896102839,2.692033476,26.16968716
4.056228386,3.408254133,23.02932392
4.058155617,4.675266291,20.51337552
4.77493274,6.546965132,18.83782293
6.196656326,9.173681155,18.43354515
8.327566562,12.38382658,20.07365082
10.85567306,14.91828784,24.51964606
12.68333718,14.23045219,30.7585482
12.33085257,9.599904518,34.73509437
9.806720851,4.677161162,33.9358951
6.803526659,2.301850586,30.42760296
4.640439589,1.978809593,26.55887417
3.571287445,2.598895965,23.12834191
3.3910199,3.709047123,20.30061943
3.917611239,5.350017169,18.20245124
5.128468105,7.761947399,17.14226852
7.10964532,11.08356964,17.80540409
9.814385385,14.66932633,21.29800569
12.4966816,16.03809519,27.97086873
13.37671327,12.37187948,34.47865366
11.3441489,6.066458654,35.77761227
7.849767661,2.102300383,32.53775568
4.918779177,1.058021405,28.22203159
3.229543227,1.381573677,24.30122669
2.583332658,2.185116413,20.98276597
2.671267072,3.324664765,18.2717674
3.356748644,5.006440297,16.25634319
4.699203717,7.58131262,15.24687644
6.883648914,11.31867198,16.02467035
9.966475011,15.61875009,20.03474457
13.14964901,17.41565884,28.06956062
14.17129704,12.77634591,35.96618683
11.57965601,5.035351008,37.07432172
7.382290049,0.689548036,32.94844749
4.053376098,-0.229239093,28.10117499
2.185710796,0.107818962,23.92685369
1.387199765,0.676362525,20.42446765
1.218452336,1.304266098,17.47337107
1.450122238,2.129208871,15.01414756
2.051739168,3.41498195,13.05953679
3.156359255,5.555959852,11.76895771
5.052447811,9.087914085,11.68251759
8.115067701,14.31927029,14.23761153
12.28836262,19.48113413,21.95087809
15.58280711,18.1005831,34.16668348
14.33061661,7.826359965,40.4469925
9.111893048,-0.360174441,36.66843652
4.132406764,-2.580238979,30.63895341
1.093332603,-2.51142047,25.75813099
-0.477872359,-2.341373783,21.92174892
-1.373707036,-2.648651409,18.8131463
-2.153763481,-3.578971295,16.33537125
-3.193346243,-5.322699745,14.57463207
-4.820814924,-8.212411125,13.91350648
-7.362007723,-12.48199557,15.35399202
-10.86500155,-17.12997793,20.70625197
-14.14625758,-17.91030962,30.38297222
-14.37971252,-11.05010066,37.98809909
-10.7028804,-2.816360587,37.12287479
-6.105093242,0.677096758,31.99934901
-2.887129354,1.073047739,27.03085331
-1.188394431,0.696161803,22.93661545
-0.425355831,0.369943265,19.52296149
-0.111466316,0.211278842,16.63245715
0.021360666,0.174012474,14.17286572
0.098518154,0.218419858,12.07799651
0.179748839,0.34124992,10.29433462
0.305959571,0.578552417,8.778365983
0.527805563,1.017795551,7.498607627
0.932105884,1.832942888,6.446680859
1.680630096,3.355974508,5.678415025
3.075049834,6.192938167,5.458734274
5.639910908,11.27810405,6.739887362
10.02823589,18.99782647,12.36010571
15.7289215,24.35970339,26.82581964
17.90856183,14.80895103,43.00970834
12.37615278,-0.764189408,42.44000263
4.783794682,-6.086348714,34.37059834
-0.224566547,-6.249026144,28.6019826
-2.875931586,-6.067239593,24.95526724
-4.431952764,-6.669257787,22.57016899
-5.771905093,-8.119697391,21.32555288
-7.331743396,-10.20161777,21.5095129
-9.16516138,-12.29420334,23.53037077
-10.85921342,-13.12246909,27.26042338
-11.571892,-11.49143725,31.08641777
-10.72286055,-8.122736245,32.63324423
-8.784210973,-5.250799722,31.3733537
-6.817278481,-3.987519509,28.66378098
-5.513258561,-4.028765701,25.74850707
-5.028675475,-4.872352939,23.21007543
-5.294009133,-6.313635988,21.35544631
-6.234179609,-8.335163944,20.52425271
-7.784498639,-10.79884731,21.21715495
-9.723204392,-12.99188458,23.93317243
-11.39683052,-13.39295355,28.3184323
-11.78717855,-10.94023968,32.16943452
-10.45167644,-7.108564875,33.02044892
-8.201209587,-4.396721258,31.04029482
-6.199302567,-3.481724394,27.95745905
-5.013946164,-3.779190563,24.91117028
-4.685234423,-4.789235738,22.35198161
-5.105238136,-6.38405706,20.54246303
-6.209213229,-8.603338925,19.84295198
-7.950466332,-11.30317004,20.83061536
-10.08162797,-13.61711488,24.08002099
-11.82227022,-13.72276667,29.06475959
-12.00576364,-10.59505467,33.03710464
-10.29167687,-6.343397497,33.40530493
-7.770558024,-3.690847386,30.89286479
-5.695277051,-2.978514729,27.50763657
-4.548077816,-3.415495146,24.31225223
-4.285287713,-4.499552881,21.66230699
-4.770355498,-6.159685633,19.77838935
-5.951045664,-8.501126051,19.02003879
-7.817492899,-11.44321579,20.02657493
-10.15592391,-14.09825637,23.53411341
-12.13324516,-14.35268831,29.12607859
-12.38378997,-10.83844554,33.66775093
-10.46136907,-6.018634938,34.04611609
-7.642266049,-3.117640078,31.20853665
-5.358649981,-2.390161636,27.52505594
-4.101259817,-2.835325531,24.1082994
-3.770019492,-3.877947464,21.25517867
-4.188041649,-5.458939713,19.12555595
-5.299892281,-7.752154405,18.02125684
-7.147260711,-10.84517654,18.56639232
-9.650890649,-14.12393071,21.71162303
-12.12505784,-15.42606754,27.70084618
-13.014506,-12.32024761,33.66749148
-11.29841136,-6.662951693,35.17789959
-8.14191373,-2.823256792,32.42405268
-5.378424934,-1.670611401,28.40178605
-3.741797416,-1.944554053,24.62891299
-3.129421039,-2.807825451,21.42253272
-3.287079292,-4.102293967,18.8561648
-4.100831783,-6.016160818,17.09152569
-5.62615986,-8.835579456,16.55593612
-7.976159619,-12.56930081,18.16011304
-10.95717545,-15.97617742,23.12496535
-13.36476613,-15.70869432,30.84718682
-13.16747629,-10.06592732,36.1571114
-10.13217447,-3.859372624,35.25064535
-6.47697873,-1.047448768,31.05569954
-3.884420262,-0.694727903,26.67492552
-2.561783128,-1.228566991,22.88864523
-2.15663074,-2.055339989,19.71058246
-2.376256336,-3.18706777,17.11833442
-3.13644201,-4.891346147,15.19629081
-4.5465109,-7.562700731,14.26472132
-6.842136001,-11.52859453,15.16585621
-10.12537174,-16.18580101,19.53515869
-13.54219177,-18.08602242,28.3615553
-14.54032394,-12.73962079,36.86453439
-11.56416137,-4.289737585,37.61796134
-7.013274564,0.084258914,32.98218593
-3.536933523,0.872318954,27.92966516
-1.617939719,0.53549575,23.69839898
-0.753042156,0.119856793,20.1734553
-0.439422227,-0.190389828,17.19170027
-0.39378012,-0.461651803,14.65703846
-0.504532002,-0.804904462,12.50534225
-0.76571116,-1.355734126,10.69381773
-1.250053101,-2.319052713,9.213906573
-2.123090934,-4.047717894,8.145139303
-3.692425015,-7.139213948,7.831420622
-6.453875274,-12.37313587,9.400401365
-10.86493364,-19.4606624,15.75486398
-15.86127936,-22.44234632,29.86745951
-16.72211445,-12.04997645,42.41542046
-11.16664961,0.694377994,40.32947933
-4.545795546,4.746435892,33.06224414
-0.278936613,4.852574346,27.59078232
1.990862516,4.751621695,23.7748685
3.363600723,5.395100706,21.02226568
4.628422703,6.938224949,19.27767064
6.246119293,9.387390309,18.88576742
8.410346647,12.42474115,20.55624892
10.86178131,14.71892428,24.92484283
12.54701813,13.86568178,30.84908449
12.11748699,9.388918155,34.47037874
9.669424444,4.759010022,33.60023046
6.808753503,2.534812563,30.20490726
4.760452702,2.252604139,26.45733691
3.766965731,2.90063086,23.12827107
3.647157265,4.066890749,20.40638248
4.240625859,5.796446666,18.45212955
5.531335702,8.301686898,17.62100295
7.580053784,11.61699814,18.64401861
10.24603413,14.85883615,22.53915962
12.63111851,15.42788429,29.15668621
13.01567202,11.25799693,34.71581077
10.73685363,5.440767632,35.09903202
7.410470095,2.142591034,31.70290583
4.784401272,1.407482954,27.55833886
3.345091405,1.847384929,23.82637581
2.882619953,2.762330575,20.68691482
3.139330278,4.092020342,18.18857985
4.029915464,6.072953048,16.49752623
5.642012102,9.02060595,16.07119909
8.113416985,12.93966257,17.90114728
11.23186751,16.43752593,23.31181703
13.65864583,15.82542578,31.50766431
13.22529018,9.580045946,36.70975313
9.889847174,3.237432725,35.30355889
6.105807114,0.604741133,30.82709187
3.51501692,0.370195359,26.36731291
2.216891535,0.906627835,22.55999236
1.805164665,1.654673694,19.36091107
1.968554901,2.638178719,16.71749988
2.611534959,4.113390898,14.66812215
3.832682727,6.474179024,13.43564539
5.88436319,10.16753783,13.68021974
9.019291251,15.11928501,16.92145135
12.83461886,18.80883422,25.04337822
15.06173122,15.54716339,35.45200158
13.01165442,6.232845722,38.96638676
8.202948152,0.04259341,34.85883617
4.028944168,-1.47928938,29.40575381
